origID,smq_mean,preoccupation,tolerance,withdrawal,persistence,escape,problems,deception,displacement,conflict
12533306,4.962962962962963,4.5,4.5,5,4.5,6,4.5,6,6,6
12533307,5.185185185185185,4,4.5,6,5.5,5.5,4.5,6,5.5,6
12533308,4.518518518518518,5,4.5,4,4.5,3.5,5,6,5,5.5
12533309,4.222222222222222,2.5,3,3.5,4,4,4.5,5.5,5.5,6
12533310,4.185185185185185,2.5,4,5.5,5.5,2,4.5,5,5,6
12533311,2.3703703703703702,2,1,2,2,1.5,2.5,2.5,2.5,5
12533312,1.5925925925925926,1,1,1.5,2.5,1,1.5,2,1.5,2
12533313,3.2962962962962963,3.5,1.5,3.5,2.5,1,3.5,6,3,3.5
12533314,2.7037037037037037,3,3,2,2,2.5,2.5,3.5,3,2.5
12533315,2.3333333333333335,2.5,2.5,1.5,2.5,1,3,3,2.5,3
12533316,4.7407407407407405,3.5,4.5,5,4.5,5.5,4.5,3.5,6,5.5
12533358,3.148148148148148,1.5,3,3.5,2.5,2,3,3.5,3.5,5.5
12533359,2.814814814814815,1,1,1.5,4.5,1,3.5,4.5,3,5
12533360,3.962962962962963,3.5,3.5,6,3.5,3.5,3.5,4.5,5.5,4.5
12533361,4.888888888888889,4,5,5,5,5,4.5,5,5.5,5.5
12533362,3.185185185185185,3,3.5,2.5,2.5,2,5,4.5,4.5,4.5
12533363,3.814814814814815,2.5,3.5,3.5,3.5,3,4,5.5,4,5.5
12533364,3.5185185185185186,3,4,3.5,2.5,2.5,4,3.5,4.5,4.5
12533365,4.888888888888889,4,5,4.5,5,4,5,6,6,5.5
12533366,2.5185185185185186,3.5,4,3.5,1.5,1.5,1.5,1.5,2.5,3
12533367,4.518518518518518,3,4,4,5,3,4.5,6,6,6
12533368,4.037037037037037,4,3.5,3,4,4,4.5,4.5,5,4.5
12533369,4.2592592592592595,2,3,5,4,3,4.5,6,5.5,5.5
12533370,3.740740740740741,2,3,3.5,3.5,2,4,5,5.5,6
12533371,3.740740740740741,2,2.5,4.5,2.5,1,4.5,5.5,5.5,5.5
12533372,2.185185185185185,2,2.5,3.5,1.5,1,1,1.5,2.5,5.5
12533373,3.4074074074074074,2.5,3,3.5,3,2,4,4.5,3.5,5.5
12533374,4.037037037037037,2.5,4.5,5.5,2.5,1.5,5,6,4,5.5
12533375,4.666666666666667,4.5,5.5,5,3.5,3,5,4,6,6
12533376,3.4814814814814814,3,3,3,5.5,2.5,3.5,2,3.5,4.5
12533377,3.2962962962962967,2.5,2.5,3,3.5,2.5,3.5,5,4.5,4
12533378,3.148148148148148,2.5,3.5,3,1.5,1,3.5,4,4,5.5
12533379,2.888888888888889,3,3,2.5,2.5,2,3,4,2.5,4
12533380,4.37037037037037,4,4.5,5.5,3,2.5,5,5,5.5,4.5
