Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1734542287261,18/12/2024 17:18:07,1734542287261,0,18/12/2024 17:18:07,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,,,,,info,,BEGIN,,,,,
2,1734542339580,18/12/2024 17:18:59,1734542339580,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students feel that they are very good at their university work BUT 
2. Other students worry about whether they can do the work assigned to them ",response,value,4,,,Rating Scale,2,object-10
3,1734542339581,18/12/2024 17:18:59,1734542339581,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students feel that they are very good at their university work BUT 
2. Other students worry about whether they can do the work assigned to them ",response,quantised,4,,,Rating Scale,2,object-10
4,1734542339581,18/12/2024 17:18:59,1734542339581,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students feel like they are just as smart as others their age BUT 
2. Other students aren't so sure and wonder if they are as smart ",response,value,4,,,Rating Scale,3,object-14
5,1734542339582,18/12/2024 17:18:59,1734542339582,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students feel like they are just as smart as others their age BUT 
2. Other students aren't so sure and wonder if they are as smart ",response,quantised,4,,,Rating Scale,3,object-14
6,1734542339583,18/12/2024 17:18:59,1734542339583,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students are pretty slow in finishing university work BUT 
2. Other students can do their university work quickly  ",response,value,1,,,Rating Scale,4,object-16
7,1734542339584,18/12/2024 17:18:59,1734542339584,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students are pretty slow in finishing university work BUT 
2. Other students can do their university work quickly  ",response,quantised,1,,,Rating Scale,4,object-16
8,1734542339585,18/12/2024 17:18:59,1734542339585,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students often forget what they learn BUT 
2. Other students can remember things easily",response,value,1,,,Rating Scale,5,object-18
9,1734542339586,18/12/2024 17:18:59,1734542339586,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students often forget what they learn BUT 
2. Other students can remember things easily",response,quantised,1,,,Rating Scale,5,object-18
10,1734542339588,18/12/2024 17:18:59,1734542339588,0,18/12/2024 17:18:59,202242,3,questionnaire-1p99,,42105351,BLIND,12295569,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1366x768,1358x650,Study,,0,Academic Self Concept Adults,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,Page 1,wqbojg,1,"1. Some students do very well at their modules BUT 
2. Other students don't do very well at their modules ",response,value,4,,,Rating Scale,6,object-20
