Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1703309016091,23/12/2023 05:23:36,1703309016091,0,23/12/2023 05:23:36,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,,,,,5,,BEGIN,,,,,
2,1703309027570,23/12/2023 05:23:47,1703309027570,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
3,1703309027570,23/12/2023 05:23:47,1703309027570,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
4,1703309027571,23/12/2023 05:23:47,1703309027571,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1703309027571,23/12/2023 05:23:47,1703309027571,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1703309027571,23/12/2023 05:23:47,1703309027571,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1703309027571,23/12/2023 05:23:47,1703309027571,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1703309027572,23/12/2023 05:23:47,1703309027572,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1703309027572,23/12/2023 05:23:47,1703309027572,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1703309027572,23/12/2023 05:23:47,1703309027572,0,23/12/2023 05:23:47,155541,10,questionnaire-eibn,,33849092,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Feedback,2,,control,,,,set 2,Controls,ACCEPT,,Controls,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,,,,fb_comment,3,object-4
