Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1738525311302,02/02/2025 19:41:51,1738525311302,0,02/02/2025 19:41:51,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,,,,,info,,BEGIN,,,,,
2,1738525414579,02/02/2025 19:43:34,1738525414579,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,value,No,,Yes|No|Only for a specific question,fb_calculator,1,object-5
3,1738525414580,02/02/2025 19:43:34,1738525414580,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use a calculator at all during the experiment? ,response,quantised,2,,Yes|No|Only for a specific question,fb_calculator,1,object-5
4,1738525414581,02/02/2025 19:43:34,1738525414581,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1738525414582,02/02/2025 19:43:34,1738525414582,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1738525414583,02/02/2025 19:43:34,1738525414583,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1738525414584,02/02/2025 19:43:34,1738525414584,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1738525414585,02/02/2025 19:43:34,1738525414585,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1738525414586,02/02/2025 19:43:34,1738525414586,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1738525414587,02/02/2025 19:43:34,1738525414587,0,02/02/2025 19:43:34,209080,4,questionnaire-23s2,,42986755,BLIND,12528775,,complete,,,computer,Desktop or Laptop,Linux x86_64,Edge 132.0.2957.129,800x1280,800x1112,,,0,Feedback,2,set1,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,__other,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,3,object-2
