Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,branch-dgjt
1,1753206909795,22/07/2025 17:55,1753210509795,1,22/07/2025 19:55,234742,9,questionnaire-k4b1,,48252702,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
3,1753207601357,22/07/2025 18:06,1753211201357,1,22/07/2025 20:06,234742,9,questionnaire-k4b1,,48252702,BLINDED,13861171,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x820,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,691550,,,,,No Voucher
1,1753260129550,23/07/2025 08:42,1753263729550,1,23/07/2025 10:42,234742,9,questionnaire-k4b1,,48260003,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753260142526,23/07/2025 08:42,1753263742526,1,23/07/2025 10:42,234742,9,questionnaire-k4b1,,48260003,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,12963,,,,,Voucher
1,1753263048994,23/07/2025 09:30,1753266648994,1,23/07/2025 11:30,234742,9,questionnaire-k4b1,,48260730,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753263054436,23/07/2025 09:30,1753266654436,1,23/07/2025 11:30,234742,9,questionnaire-k4b1,,48260730,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,5433,,,,,Voucher
1,1753264558851,23/07/2025 09:55,1753268158851,1,23/07/2025 11:55,234742,9,questionnaire-k4b1,,48261175,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753264565909,23/07/2025 09:56,1753268165909,1,23/07/2025 11:56,234742,9,questionnaire-k4b1,,48261175,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,7044,,,,,Voucher
1,1753273850205,23/07/2025 12:30,1753277450205,1,23/07/2025 14:30,234742,9,questionnaire-k4b1,,48265398,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753273857572,23/07/2025 12:30,1753277457572,1,23/07/2025 14:30,234742,9,questionnaire-k4b1,,48265398,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,7355,,,,,Voucher
