Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1721987306791,26/07/2024 09:48:26,1721990906791,1,26/07/2024 11:48:26,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,,,,,info,,BEGIN,,,,,
2,1721987376975,26/07/2024 09:49:36,1721990976975,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,value,A quiet room with no distraction.,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
3,1721987376975,26/07/2024 09:49:36,1721990976975,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Which best describes the environment you completed the experiment in?,response,quantised,1,,A quiet room with no distraction.|A quiet public space with minimal distraction (such as a library).|A public space with considerable background noise (such as a cafe).,fb_environment,1,object-2
4,1721987376976,26/07/2024 09:49:36,1721990976976,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,No,1,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
5,1721987376976,26/07/2024 09:49:36,1721990976976,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, to answer a call.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
6,1721987376976,26/07/2024 09:49:36,1721990976976,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I checked my messages.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
7,1721987376977,26/07/2024 09:49:36,1721990976977,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I played music.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
8,1721987376977,26/07/2024 09:49:36,1721990976977,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,"Yes, I had video playing on the side.",0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
9,1721987376977,26/07/2024 09:49:36,1721990976977,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,Did you use your phone at any point during the experiment? (Select all that apply),response,__other,0,,"No|Yes, to answer a call.|Yes, I checked my messages.|Yes, I played music.|Yes, I had video playing on the side.",fb_phone,2,object-3
10,1721987376978,26/07/2024 09:49:36,1721990976978,1,26/07/2024 11:49:36,180633,7,questionnaire-9jfu,,39213271,BLIND,11503016,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,Prize Draw,,0,Feedback (Clone),1,Set1,Consent,Over 18,Proficiency English,Prize Draw,Page 1,rnfxsa,1,How did you find participating in this experiment? Please tell us anything you'd like to share about your experience.,response,value,Quite simple to follow and a short assesment ,,,fb_comment,3,object-4
